,productid,product_name,brand_name,event_date_of_launch,country_of_launch,market_category,market_subcategory,Company,uhc,nutrition,standard_serving_size,energy_kcal,protein,fat, Fiber_DietaryFiber,Fat,Fiber,Protein,Moisture,Ash,Calories
33,5247940,Sport Dog Food Elite Series Sled Dog Buffalo And Sweet Potato Dry Dog Food,Sport Dog Food,2018-01-07,United States,Pet Food,Dog Food - Dry,Sport Dog Food,Sport Dog Food,"total calories: 3846kcal, crudefat: 20%, moisture: 9%, crudeprotein: 30%, crudefiber: 3.2%",,3846.0,,,,20,3.2,30,9,,3846
34,8286556,Purina Beneful Incredibites Dry Pet Food With Farm Raised Beef For Small Dogs,Purina Beneful,2022-01-10,United States,Pet Food,Dog Food - Dry,Nestle Purina,Nestle,"per serving size: 1kg, total calories: 3682.0kcal, calcium: 1.10%, crudef iber: 4.0%, vitamin   a(g/mg): 12500.0iu, crudef at: 13.50%, c rude protein: 26.0%, moisture: 12.0%, selenium (g/mg): 0.350mg, vitamin e(g/mg): 150.0iu",100.0,368.2,,,,,,26.0,12.0,,3682.0
35,5251629,Sport Dog Food Active Series Dock Dog Buffalo And Oatmeal Formula Pea Free Dry Dog Food,Sport Dog Food,2018-01-08,United States,Pet Food,Dog Food - Dry,Sport Dog Food,Sport Dog Food,"moisture: 9%, total calories: 3595kcal, crudeprotein: 30%, crudefat: 15%, crudefiber: 3.3%",,3595.0,,,,15,3.3,30,9,,3595
36,7809261,Purina Pro Plan Performance 30 By 17 Chicken And Rice Formula Dry Pet Food For Adult Dogs 7 Years And Older,Pro Plan,2022-01-02,United States,Pet Food,Dog Food - Dry,Nestle Purina,Nestle,"per serving size: 1kg, total calories: 4091kcal, calcium: 1.0%, vitamin   a(g/mg): 14000iu, vitamin c (g/mg): 100mg, crude fat: 17.0%, crude fiber: 3.0%, eicosapentaenoic acid (epa): 0.150%, glucosamine(g/mg): 500.0ppm, pyridoxine(g/mg): 3.0mg, vitamin  e(g/mg): 500.0iu, arginine: 1.2%, crude protein: 30.0%, docosahexaenoic acid (dha): 0.150%, folic acid(g/mg): 0.60mg, linoleic acid: 1.80%, moisture: 12.0%, omega - 3 fatty acids: 0.50%, omega-6 fatty  acids: 1.90%, phosphorus: 0.80%, selenium (g/mg): 0.350mg",100.0,409.1,,,,17.0,3.0,30.0,12.0,,4091
37,5247604,Sport Dog Food Elite Series Herding Dog Buffalo And Sweet Potato Formula Grain Free Pea Free Dry Dog Food,Sport Dog Food,2018-01-07,United States,Pet Food,Dog Food - Dry,Sport Dog Food,Sport Dog Food,"total calories: 3595kcal, crudefat: 15%, crudeprotein: 30%, crudefiber: 3.3%, moisture: 9%",,3595.0,,,,15,3.3,30,9,,3595
38,4511506,Purina Bella Pampered Meals Inspired By Small Dogs With Lamb In Savory Juices,Bella,2018-01-02,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"total calories: 922kcal, moisture: 82%, crudeprotein: 8%, crudefat: 3.5%, crudefiber: 1%",,922.0,,,,3.5,1,8,82,,922
39,7955574,Hills Prescription Diet Metabolic Plus Urinary Vegetables And Chicken Stew Wet Pet Food For Cats,Prescription Diet,2022-01-04,United States,Pet Food,Cat Food - Wet,Hills Pet Nutrition,Colgate Palmolive,"total carbohydrates: 0g,     per serving size: 100g, total calories: 60kcal, protein: 38.20%, calcium: 0.750%, fat: 14.30%, potassium: 0.960%, sodium: 0.430%, vitamin c (g/mg): 17.0ppm, crude fiber: 10.8%, phosphorus: 0.66%, magnesium: 0.078%, taurine: 0.44%, vitamin  e(g/mg): 585iu, totalomega3fattyacid: 1.44%, totalomega6fattyacid: 3.37%",100.0,60.0,,,,3.37,10.8,38.20,,,60
40,4744483,Iams Proactive Health Mature Adult Cat Food With Chicken,Iams,2018-01-01,United States,Pet Food,Cat Food - Dry,Mars,Mars,"taurine: 0.15%, omega-6fattyacids: 1.74%, omega-3fattyacids: 0.17%, crudefat: 13%, total calories: 3604kcal, vitaminemg: 250iu, l-carnitine(g/mg): 80mg, crudeprotein: 32%, crudefiber: 3%, moisture: 10%, sodium carbonate (ash): 7%, magnesium: 0.1%",,3604.0,,,,13,3,32,10,7,3604
41,7509398,Dr Elseys Cleanprotein Duck Recipe Grain Free Dry Cat Food,Cleanprotein,2021-01-10,United States,Pet Food,Cat Food - Dry,Dr Elseys,Dr Elseys,"per serving size: 1kg, energy kj: 16966.12kj, energy kcal: 4055kcal, crude fat: 18%, crude fiber: 4%, crude protein: 58%, docosahexaenoic acid (dha): 0.06%, eicosapentaenoic acid (epa): 0.06%, moisture: 12%, vitamin  e(g/mg): 150iu, omega 3  fatty acids: 1%",100.0,405.5,,,,18,4,58,12,,
42,5247639,Sport Dog Food K 9 Series Police K 9 Chicken And Fish Formula Pea Free Dry Dog Food,Sport Dog Food,2018-01-07,United States,Pet Food,Dog Food - Dry,Sport Dog Food,Sport Dog Food,"total calories: 3718kcal, moisture: 9%, crudeprotein: 26%, crudefat: 19%, crudefiber: 3.4%",,3718.0,,,,19,3.4,26,9,,3718
43,6210657,Just Food For Dogs Lamb And Brown Rice Recipe Dog Food,Just Food For Dogs,2019-01-11,United States,Pet Food,Dog Food - Wet,Just Food For Dogs,Just Food For Dogs,"serving size: 1kg, energy(kj): 4870kj, energy(kcal): 1164kcal, crudefat: 4.00%, crudeprotein: 6.00%, crudefiber: 1.50%, moisture: 75.00%",1000.0,116400.0,,,,4.00,1.50,6.00,75.00,,
44,6926817,Dr Harveys Specialty Diet Healthy Weight Naturally Boosts Canine Metabolism Beef Recipe Food For Adult Dogs,Dr Harveys,2020-01-12,United States,Pet Food,Dog Food - Dry,Dr Harveys,Dr Harveys,"crudeprotein: 19%, crude fat: 9%, crude fiber: 8%, moisture: 11%",,,,,,9,8,19,11,,
45,6143025,Wolf Spring Weight Management Canine Water,Wolf Spring,2019-01-10,United States,Pet Food,Dog Food - Wet,Wolf Spring,Wolf Spring,,,,,,,,,,,,
46,8089912,Iams Proactive Health Healthy Premium Adult Cat Nutrition With Salmon,Iams,2022-01-06,United States,Pet Food,Cat Food - Dry,Mars,Mars,"serving size: 1.00kg, total calories: 3722.00kcal, potassium: 0.70%, crude fiber: 3.00%, calcium: 0.80%, lcanitine: 80.00mg, crudefat: 15.00%, crudeprotein: 32.00%, moisture: 10.00%, taurine: 0.15%, omega3fattyacids: 0.20%, omega6fattyacids: 2.00%",1000.0,372200.0,,,,2.00,3.00,32.00,10.00,,3722.00
47,7040140,Purina Bella Morsels In Sauce Filet Mignon Flavor With Carrots And Spinach Natural Dog Food,Bella,2020-01-12,United States,Pet Food,Dog Food - Wet,Nestle Purina,Nestle,"total calories: 990kcal, moisture: 78%, crude protein: 11%, crude fat: 2%, crude fiber: 1%",,990.0,,,,2,1,11,78,,990
48,5132832,Annamaet Re-Juvenate Grain Free Senior Formula Dog Food,Annamaet Dog Food,2018-01-06,United States,Pet Food,Dog Food - Dry,Annamaet Petfoods,Annamaet Petfoods,"total calories: 3450kcal, l-carnitin(g/mg): 35mg, crudeprotein: 33%, crudefat: 12%, crudefiber: 4%, moisture: 10%, sodium carbonate (ash): 7%, dha: 0.2%, mct: 3%, omega6fattyacids: 3.25%, omega3fattyacids: 1%",,3450.0,,,,1,4,33,10,7,3450
49,7636973,Purina Pro Plan All Ages Sport Performance 30 Over 20 Beef And Rice Formula For Canine Athletes,Pro Plan,2021-01-11,United States,Pet Food,Dog Food - Dry,Nestle Purina,Nestle,"per serving size: 1kg, total calories: 4397kcal, calcium: 1.1%, vitamin   a(g/mg): 15000iu, vitamin c (g/mg): 100mg, crude fat: 20%, crude fiber: 3%, crude protein: 30%, moisture: 12%, linoleic acid: 1.8%, eicosapentaenoic acid (epa): 0.12%, docosahexaenoic acid (dha): 0.12%, phosphorus: 0.9%, selenium(se)(g/mg): 0.35mg, vitamin  e(g/mg): 500iu, glucosamine(g/mg): 500ppm, omega 6 fatty acids: 1.9%, bacilluscoagulans(g/mg): 600million cfu",100.0,439.7,,,,20,3,30,12,,4397
50,7990305,4health Special Care Weight Management Formula For Adult Cats,4health,2022-01-05,United States,Pet Food,Cat Food - Wet,Tractor Supply Company,Tractor Supply Company,"per serving size: 1kg, total calories: 940.0kcal, vitamin  a(g/mg): 10000.0iu, crude fat: 3.0%, crude fiber: 1.50%, crude protein: 8.0%, l-carnitineÂ (g/mg): 40.0mg, moisture: 80.0%, vitaminb12(g/mg): 0.00050mg",100.0,94.0,,,,3.0,1.50,8.0,80.0,,940.0
